Team_Name,Position,Points,Win_Percentage
FaZe,1,975,72.7
Vitality,2,759,80.0
Spirit,3,634,71.4
MOUZ,4,506,56.2
G2,5,445,60.0
Natus_Vincere,6,431,66.7
Falcons,7,399,46.2
Virtus.pro,8,352,76.0
Complexity,9,267,41.2
Monte,10,263,73.3
Cloud9,11,263,47.6
Apeks,12,224,59.1
ENCE,13,220,46.2
FURIA,14,190,42.9
Heroic,15,190,56.5
Eternal_Fire,16,189,65.0
GamerLegion,17,176,31.6
Astralis,18,156,50.0
BIG,19,116,54.5
MIBR,20,109,65.0
BetBoom,21,108,42.9
HAVU,22,102,57.1
TheMongolz,23,98,73.9
Liquid,24,72,77.8
Rebels,25,57,30.8
9_Pandas,26,55,53.8
Ninjas_in_Pyjamas,27,52,23.1
Preasy,28,41,70.0
SAW,29,41,72.0
3DMAX,30,38,42.9
